"Participant_ID","Condition","RT"
7,"Condition_1",1.42443848962873
7,"Condition_1",1.69731942030184
7,"Condition_1",1.34069978774907
7,"Condition_1",1.54334118113074
7,"Condition_1",1.59429741687013
7,"Condition_1",1.4944021618629
7,"Condition_1",1.48775066408993
7,"Condition_1",1.60208867216411
7,"Condition_1",1.41240487447525
7,"Condition_1",1.54280040663963
7,"Condition_1",1.50484821751546
7,"Condition_1",1.60130536202836
7,"Condition_1",1.43527210072219
7,"Condition_1",1.59460910225763
7,"Condition_1",1.51401801577118
7,"Condition_1",1.45059597953217
7,"Condition_1",1.29274304880396
7,"Condition_1",1.52619022777039
7,"Condition_1",1.37432314028021
7,"Condition_1",1.29321840019284
7,"Condition_1",1.54208018436203
7,"Condition_1",1.5268678854004
7,"Condition_1",1.38671698681098
7,"Condition_1",1.34546509680515
7,"Condition_1",1.38459648227617
7,"Condition_1",1.52295527538807
7,"Condition_1",1.63368915443897
7,"Condition_1",1.23869458168982
7,"Condition_1",1.50925268659974
7,"Condition_1",1.42942160875906
7,"Condition_1",1.60440450363538
7,"Condition_1",1.56652600798423
7,"Condition_1",1.58157946500826
7,"Condition_1",1.39336960653252
7,"Condition_1",1.53557201753953
7,"Condition_1",1.68439243811585
7,"Condition_1",1.6698666961536
7,"Condition_1",1.42360651769989
7,"Condition_1",1.52011075550956
7,"Condition_1",1.54290054862109
7,"Condition_1",1.56845030175024
7,"Condition_1",1.4638826964813
7,"Condition_1",1.5853715673401
7,"Condition_1",1.4105152638738
7,"Condition_1",1.5913314126843
7,"Condition_1",1.44848930052397
7,"Condition_1",1.67161408881412
7,"Condition_1",1.48990064368165
7,"Condition_1",1.54575055781045
7,"Condition_1",1.39098798406843
7,"Condition_2",1.46436333204735
7,"Condition_2",1.77416914912448
7,"Condition_2",1.40766671387105
7,"Condition_2",1.48292651490301
7,"Condition_2",1.4329524581873
7,"Condition_2",1.4759188744767
7,"Condition_2",1.52171046679503
7,"Condition_2",1.52254867685309
7,"Condition_2",1.55595133254507
7,"Condition_2",1.59976333335479
7,"Condition_2",1.44552183054408
7,"Condition_2",1.46047834734823
7,"Condition_2",1.42087831336963
7,"Condition_2",1.551534828088
7,"Condition_2",1.45536510521056
7,"Condition_2",1.55818181422565
7,"Condition_2",1.52911595144345
7,"Condition_2",1.53761616984976
7,"Condition_2",1.48593809846666
7,"Condition_2",1.5062096276573
7,"Condition_2",1.50554132547822
7,"Condition_2",1.4768006776861
7,"Condition_2",1.35869619350481
7,"Condition_2",1.60182332215557
7,"Condition_2",1.60695120490494
7,"Condition_2",1.45587511020613
7,"Condition_2",1.45650383805891
7,"Condition_2",1.45150475541549
7,"Condition_2",1.52955216245304
7,"Condition_2",1.51099237769648
7,"Condition_2",1.44575206970567
7,"Condition_2",1.48740155427274
7,"Condition_2",1.35609444844694
7,"Condition_2",1.44090210711005
7,"Condition_2",1.59164418708007
7,"Condition_2",1.4645139445548
7,"Condition_2",1.5858350681002
7,"Condition_2",1.46931743221987
7,"Condition_2",1.30019688884721
7,"Condition_2",1.42885792520794
7,"Condition_2",1.53364979780951
7,"Condition_2",1.40381037099771
7,"Condition_2",1.59277601896356
7,"Condition_2",1.50347925917218
7,"Condition_2",1.55224805037759
7,"Condition_2",1.32435172255286
7,"Condition_2",1.50667348508304
7,"Condition_2",1.48490407395231
7,"Condition_2",1.52756925617522
7,"Condition_2",1.35055406313167
