"Participant_ID","Condition","RT"
3,"Condition_1",1.58574995618666
3,"Condition_1",1.30305682660893
3,"Condition_1",1.44185205258203
3,"Condition_1",1.56091599885764
3,"Condition_1",1.53098917798064
3,"Condition_1",1.52068437713133
3,"Condition_1",1.5842555859555
3,"Condition_1",1.43294793763818
3,"Condition_1",1.63159575610479
3,"Condition_1",1.45622085347495
3,"Condition_1",1.47155948859734
3,"Condition_1",1.48930993704706
3,"Condition_1",1.5412870457833
3,"Condition_1",1.56951115659235
3,"Condition_1",1.37702468286182
3,"Condition_1",1.60039597436674
3,"Condition_1",1.62336661976069
3,"Condition_1",1.50499175229089
3,"Condition_1",1.48850738461061
3,"Condition_1",1.33359907069727
3,"Condition_1",1.40457186301985
3,"Condition_1",1.4962451342689
3,"Condition_1",1.31645746800043
3,"Condition_1",1.64562672553525
3,"Condition_1",1.5222284634348
3,"Condition_1",1.76285136171072
3,"Condition_1",1.31622451127453
3,"Condition_1",1.48969860195569
3,"Condition_1",1.56693440534544
3,"Condition_1",1.36966385326218
3,"Condition_1",1.59412196884942
3,"Condition_1",1.33992047794456
3,"Condition_1",1.5762130545765
3,"Condition_1",1.51748656267969
3,"Condition_1",1.44447816888229
3,"Condition_1",1.52628005617866
3,"Condition_1",1.57379668015294
3,"Condition_1",1.37870062459015
3,"Condition_1",1.5403470686438
3,"Condition_1",1.45052848354407
3,"Condition_1",1.60456659605572
3,"Condition_1",1.55772555900705
3,"Condition_1",1.40107852866411
3,"Condition_1",1.52279912471274
3,"Condition_1",1.65427529130577
3,"Condition_1",1.37760678942007
3,"Condition_1",1.6785423950144
3,"Condition_1",1.63752164037646
3,"Condition_1",1.45300556927264
3,"Condition_1",1.44171049588688
3,"Condition_2",1.59300520091131
3,"Condition_2",1.41936690846271
3,"Condition_2",1.39218877453614
3,"Condition_2",1.65434084422635
3,"Condition_2",1.47214128226159
3,"Condition_2",1.3799681140969
3,"Condition_2",1.54841330988282
3,"Condition_2",1.65052754878695
3,"Condition_2",1.51680030811347
3,"Condition_2",1.58251142622108
3,"Condition_2",1.66004976188796
3,"Condition_2",1.36409025254909
3,"Condition_2",1.63276995062245
3,"Condition_2",1.49349852197248
3,"Condition_2",1.539817460487
3,"Condition_2",1.54232082394149
3,"Condition_2",1.43864068938433
3,"Condition_2",1.36498214367517
3,"Condition_2",1.36834335949057
3,"Condition_2",1.63695949368302
3,"Condition_2",1.26687001964506
3,"Condition_2",1.56995796815582
3,"Condition_2",1.42619405692339
3,"Condition_2",1.48632035155588
3,"Condition_2",1.3960398996553
3,"Condition_2",1.51529583810913
3,"Condition_2",1.52266998566874
3,"Condition_2",1.43109604780445
3,"Condition_2",1.41968268226294
3,"Condition_2",1.42726071895488
3,"Condition_2",1.61953305166096
3,"Condition_2",1.47073863444216
3,"Condition_2",1.48603026790049
3,"Condition_2",1.53317377749652
3,"Condition_2",1.50966917351162
3,"Condition_2",1.72680393578769
3,"Condition_2",1.3159473955996
3,"Condition_2",1.59318657625634
3,"Condition_2",1.49734906531855
3,"Condition_2",1.52721501216454
3,"Condition_2",1.55419985337774
3,"Condition_2",1.55147037120724
3,"Condition_2",1.66029107356068
3,"Condition_2",1.53038106666433
3,"Condition_2",1.42487088913153
3,"Condition_2",1.51585557962382
3,"Condition_2",1.52779639364243
3,"Condition_2",1.37072892948357
3,"Condition_2",1.52657909026402
3,"Condition_2",1.50578996637327
